main_set,variant,card_count,group_rows,current_subsets,proposed_new_subset,note
2022 Fleer Ultra Marvel Avengers,1963,171,171,2022 Fleer Ultra Marvel Avengers - Comic Clippings; 2022 Fleer Ultra Marvel Avengers - Comic Covers,2022 Fleer Ultra Marvel Avengers - 1963,
(unassigned),Gold,96,96,marvel 2023 eternals,,BLOCKED: subset has no main set assigned — must assign a main set before a parallel subset can be created
2025 Topps Chrome Marvel,Gold Wave Refractor,72,72,2025 Topps Chrome Marvel - Future Stars; 2025 Topps Chrome Marvel - Galactic Legends; 2025 Topps Chrome Marvel - Golden Anniversaries; 2025 Topps Chrome Marvel - Marvel Anniversaries; 2025 Topps Chrome Marvel - Marvel Icons; 2025 Topps Chrome Marvel - X-Men Giant Size 50th Anniversary,2025 Topps Chrome Marvel - Gold Wave Refractor,
(unassigned),Blue,70,70,marvel 2023 eternals,,BLOCKED: subset has no main set assigned — must assign a main set before a parallel subset can be created
Marvel 2025 Topps Chrome,Web,59,59,Marvel 2025 Topps Chrome,Marvel 2025 Topps Chrome - Web,
Marvel 2025 Topps Chrome,Blue Red Web,55,55,Marvel 2025 Topps Chrome,Marvel 2025 Topps Chrome - Blue Red Web,
(unassigned),Silver,53,53,marvel 2023 eternals,,BLOCKED: subset has no main set assigned — must assign a main set before a parallel subset can be created
(unassigned),Purple,51,51,marvel 2023 eternals,,BLOCKED: subset has no main set assigned — must assign a main set before a parallel subset can be created
marvel 2025 topps finest x men '97,Refractor,49,49,marvel 2025 topps finest x men '97,marvel 2025 topps finest x men '97 - Refractor,
marvel 2025 topps finest x men '97,Laser Refractor,40,40,marvel 2025 topps finest x men '97,marvel 2025 topps finest x men '97 - Laser Refractor,
(unassigned),Green,39,39,marvel 2023 eternals,,BLOCKED: subset has no main set assigned — must assign a main set before a parallel subset can be created
2024 Upper Deck Marvel Studios Series 1,Printing Plate,38,38,2024 Upper Deck Marvel Studios Series 1 - 2024 Upper Deck Marvel Studios Series 1; 2024 Upper Deck Marvel Studios Series 1 - Marquees; 2024 Upper Deck Marvel Studios Series 1 - UD Canvas,2024 Upper Deck Marvel Studios Series 1 - Printing Plate,
marvel 2025 topps finest x men '97,Gold Refractor,36,36,marvel 2025 topps finest x men '97,marvel 2025 topps finest x men '97 - Gold Refractor,
marvel 2025 topps finest x men '97,X-Fractor,35,35,Marvel 2025 Topps Finest X-Men '97 Short Print; marvel 2025 topps finest x men '97,marvel 2025 topps finest x men '97 - X-Fractor,
2023 Upper Deck Marvel Wandavision,Printing Plate,27,27,2023 Upper Deck Marvel Wandavision - 2023 Upper Deck Marvel Wandavision,2023 Upper Deck Marvel Wandavision - Printing Plate,
2023 Fleer Ultra Marvel Wolverine,1988,26,26,2023 Fleer Ultra Marvel Wolverine - Claw Cut Covers; 2023 Fleer Ultra Marvel Wolverine - Comic Cuts,2023 Fleer Ultra Marvel Wolverine - 1988,
marvel 2025 topps finest x men '97,Orange Refractor,24,24,marvel 2025 topps finest x men '97,marvel 2025 topps finest x men '97 - Orange Refractor,
2023 Fleer Ultra Marvel Wolverine,1963,23,23,2023 Fleer Ultra Marvel Wolverine - Claw Cut Covers; 2023 Fleer Ultra Marvel Wolverine - Comic Cuts,2023 Fleer Ultra Marvel Wolverine - 1963,
2024 Upper Deck Marvel Studios Series 1,Exclusive,22,22,2024 Upper Deck Marvel Studios Series 1 - 2024 Upper Deck Marvel Studios Series 1,2024 Upper Deck Marvel Studios Series 1 - Exclusive,
Marvel 2025 Topps Chrome,SuperFractor,21,21,Marvel 2025 Topps Chrome; Marvel 2025 Topps Chrome Avengers Infinity Die-Cut,Marvel 2025 Topps Chrome - SuperFractor,
2023 Fleer Ultra Marvel Wolverine,2003,15,15,2023 Fleer Ultra Marvel Wolverine - Claw Cut Covers; 2023 Fleer Ultra Marvel Wolverine - Comic Cuts,2023 Fleer Ultra Marvel Wolverine - 2003,
2020-21 Upper Deck Marvel Annual,2019,14,7,2020-21 Upper Deck Marvel Annual - Number 1 Spot,2020-21 Upper Deck Marvel Annual - 2019,
Marvel 2025 Topps Chrome,Black,14,14,Marvel 2025 Topps Chrome,Marvel 2025 Topps Chrome - Black,
Marvel 2025 Topps Chrome,Human Torch,13,13,Marvel 2025 Topps Chrome,Marvel 2025 Topps Chrome - Human Torch,
Marvel 2025 Topps Chrome,Black Clawed,13,13,Marvel 2025 Topps Chrome,Marvel 2025 Topps Chrome - Black Clawed,
marvel 2025 topps finest x men '97,Superfractor,13,13,Marvel 2025 Topps Finest X-Men '97 Short Print,marvel 2025 topps finest x men '97 - Superfractor,
Marvel 2025 Topps Chrome,Red Wave,12,12,Marvel 2025 Topps Chrome,Marvel 2025 Topps Chrome - Red Wave,
Marvel 2025 Topps Chrome,Orange,11,11,Marvel 2025 Topps Chrome,Marvel 2025 Topps Chrome - Orange,
Marvel 2025 Topps Chrome,Rose Gold Mini Diamonds,11,11,Marvel 2025 Topps Chrome,Marvel 2025 Topps Chrome - Rose Gold Mini Diamonds,
Marvel 2025 Topps Chrome,Red Clawed,11,11,Marvel 2025 Topps Chrome,Marvel 2025 Topps Chrome - Red Clawed,
